0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,5.0,5.4,0.0
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,39.4,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,4.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.9,0.0,0.0,56.8,0.0,0.0,0.0,0.0,0.0
-8.7,0.0,5.0,1.0,6.4,0.0,0.0,0.0,0.0,2.0,43.4,0.0,0.0,0.0,2.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,33.9,1.7,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,5.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.6,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.8,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,22.5,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,22.3,44.7,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,51.7,47.2,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,48.3,37.7,4.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3.0,0.0,13.4,45.8,31.6,4.0,0.0,1.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.2,41.1,22.9,0.0,4.0,3.8,26.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9.2,0.0,34.2,42.8,20.5,0.0,0.0,4.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.2,30.8,19.1,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.5,0.0,45.8,39.5,14.2,0.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,66.7,53.6,10.7,0.0,0.0,0.0,45.3,0.0,0.0,0.0,3.0,0.0,1.0,0.0
0.0,-0.1,75.5,26.2,5.3,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,72.5,14.4,2.0,0.0,0.0,0.0,29.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.0,0.0,58.0,1.0,0.0,-5.6,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,72.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,70.9,-7.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,62.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.1,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.6,0.0
0.0,0.0,28.6,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,19.4,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,9.7,0.0,0.0,0.0,4.0,0.0,3.7,0.0,0.0,0.0,2.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0
